Issue key,Summary,Description,Custom field (Cause of issue),Custom field (Request Category),Custom field (Request Type),Custom field (Source),Status,Priority,Created,Resolved,Custom field (Time to first response),Custom field (Time to resolution),Merged Comments
PART1-6703,S0162948,"MAIN CONTENT:
MAIN CONTENT: MAIN CONTENT: Hello, We were trying to edit the attached order but it would not allow us. We have a large distribution this Saturday and needed to add pallet of mixed vegetables with cabbages and onions and pallet of item # 700706 Reduce 520419 to 21 items Please help.us|https: help.us",Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,Email Request,Email to Jira,Closed,Medium,2024-06-04 12:59:00,2024-06-05 11:46:00,03:00:00,05:13:00,"[06/04/2024 12:59] Hi dasft@yahoo.com, Thank you for contacting the Capital Area Food Bankâ€™s Customer Relations Department! Our hours of operation between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank [06/04/2024 09:26] Good morning, Thank you for contacting customer support. At this time, your order is locked and has moved to fulfillment. We are unable to make any edits to your order during this time. Charity"
PART1-6696,Cancel order,"REFERENCE NUMBERS:
Order Numbers: SO163108, SO163108, SO163108, SO163108

MAIN CONTENT:
REFERENCE NUMBERS: Order Numbers: SO163108, SO163108 MAIN CONTENT: REFERENCE NUMBERS: Order Numbers: SO163108 MAIN CONTENT: Please cancel order number h2. SO163108 For St. Joseph 101043. Thank you Pam White",Request of Customer Relations,Orders - Pre delivery,Email Request,Email to Jira,Closed,Medium,2024-06-03 09:47:00,2024-06-03 10:28:00,02:59:00,15:43:00,"[06/03/2024 09:47] Hi pamwhite2013@gmail.com, We just received your request for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank [06/03/2024 10:27] Good morning, Thank you for contacting customer support. I have cancelled your order. Charity [06/03/2024 02:49] Thank you. [06/03/2024 02:49] Customer has replied after the ticket has been resolved."
PART1-6619,"FW: New Voicemail from GAIL HAYNIE (240) ###-#### to Partner Support (Ext. 117423) on Tue May 21, 2024 12:36","MAIN CONTENT:
MAIN CONTENT: EMAIL HEADERS: From: Zoom Sent: Tuesday, May 21, 2024 12:37 PM Subject: New Voicemail from GAIL HAYNIE (240) 210-6484 to Partner Support (Ext. 117423) on Tue May 21, 2024 12:36 MAIN CONTENT: From: Zoom Sent: Tuesday, May 21, 2024 12:37 PM To: Thomas Britton Subject: New Voicemail from GAIL HAYNIE (240) 210-6484 to Partner Support (Ext. 117423) on Tue May 21, 2024 12:36 | | | | | | | !~WRD0000.jpg|thumbnail! | !~WRD0000.jpg|thumbnail! | | You have a new shared voicemail | | !~WRD0000.jpg|thumbnail! | | Time | Tue May 21, 2024 12:36 | | From | GAIL HAYNIE (240) 210-6484 | | To | Partner Support (Ext. 117423) (Auto Receptionist) | | Forward To | DC Reception Desk (Ext. 821) (Call Queue) | | Duration | 00:02 | | To listen to this message, you can open the attachment or use any Zoom Applications |https: zoom.us/download to have instant access to all your messages. | | | | | | !~WRD0000.jpg|thumbnail! | | !~WRD0000.jpg|thumbnail! | | !~WRD0000.jpg|thumbnail! | +1.888.799.9666 '©2024 Zoom - All Rights Reserved | Visit zoom.us|https: zoom.us 55 Almaden Blvd San Jose, CA 95113|https: www.google.com/maps/place/55+Almaden+Blvd,+San+Jose,+CA+95113/@37.3328541,-121.897097,17z/data=!3m1!4b1!4m5!3m4!1s0x808fcca40adf3cb7:0x5a2d33d3593e0a33!8m2!3d37.3328541!4d-121.8949083 |",Partner Error,Orders - Pre delivery -> General Questions,Email Request,Email to Jira,Closed,Medium,2024-05-22 08:21:00,2024-05-22 12:40:00,03:00:00,12:19:00,"[05/22/2024 08:21] [^msg_9258009e-d227-42d6-9900-a0368d030091.mp3] _(44 kB)_ !~WRD0000.jpg|thumbnail! [05/22/2024 08:21] Hi Thomas Britton, We just received your request for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank [05/22/2024 10:14] Left VM, will follow-up again this afternoon. Charity [05/22/2024 12:39] Spoke with partner, closing out ticket"
PART1-6518,Add items on the purchase,"REFERENCE NUMBERS:
Order Numbers: SO153485, S8, SO153485, S8

MAIN CONTENT:
REFERENCE NUMBERS: Order Numbers: SO153485, S8 MAIN CONTENT: REFERENCE NUMBERS: Order Numbers: SO153485, S8 MAIN CONTENT: Marie ODAH Administrative Assistant Coordinator of Food Pantry & Immigrant Resourcing Capital Christian Fellowship www.capitalchristian.org For God so loved the world, that he gave his only begotten Son, that whosoever believeth on him should not perish, but have eternal life .",Request of Customer Relations,Orders - Pre delivery -> Produce Request,Email Request,Email to Jira,Closed,Medium,2024-05-07 02:42:00,2024-05-07 02:55:00,02:56:00,15:47:00,"[05/07/2024 02:42] Hi marieodah@capitalchristian.org, We just received your request for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank [05/07/2024 02:51] Thank you for your response! [05/07/2024 02:53] Good afternoon, Thank you for contacting customer support. I have updated your order with 5 of item 700702 and 3 of item 700701 because that is all we had left. Charity [05/07/2024 03:08] Thank you so so much\! Be blessed! [05/07/2024 03:08] Customer has replied after the ticket has been resolved."
PART1-6519,Re: Capital Area Food Bank Order- SO158917,"REFERENCE NUMBERS:
Order Numbers: SO158917, SO158917, S-7, SO158917, S-7, SO158917, SO158917, S-7, SO158917, S-7

MAIN CONTENT:
REFERENCE NUMBERS: Order Numbers: SO158917, SO158917, S-7, SO158917, S-7 MAIN CONTENT: EMAIL HEADERS: From: partner Sent: Monday, May 6, 2024 9:06:15 AM Subject: Capital Area Food Bank Order- SO158917 REFERENCE NUMBERS: Order Numbers: SO158917, S-7 MAIN CONTENT: Could you please add some recipe cards and nutritional information to my order? I have a Life Skills class that I teach and your information would be a great resource. ---- From: partner Support (partnersupport@capitalareafoodbank.org) Sent: Monday, May 6, 2024 9:06:15 AM To: murielbfrancis@hotmail.com Subject: Capital Area Food Bank Order- SO158917 | | | | Hello partner, | | 'Š | | Your Capital Area Food Bank order delivery (or pickup) is coming soon. Please review the attached PDF of your order. | | 'Š | | 'Š | | You have 24 hours to modify/cancel your order. Email partnersupport@capitalareafoodbank.org|mailto:partnersupport@capitalareafoodbank.org for any assistance and/or feedback related to your order. | | 'Š | | 'Š | | 'Š | | Thank you for being a partner of the Capital Area Food Bank. | | | | | | 'Š | | |!https: 229676.app.netsuite.com/core/media/media.nl?id=646019&c=229676&h=mnjMtUh0MbywyWwFI0xWyRMdh9aLYrAU-S-7AlbunWYeZ_vL! | Capital Area Food Bank 'Š P. 202.644.9800 4900 Puerto Rico Ave NE, Washington, DC 20017 www.capitalareafoodbank.org|https: www.capitalareafoodbank.org/ | |!https: www.mailjet.com/images/theme/v1/icons/ico-social/facebook.png! | | |!https: www.mailjet.com/images/theme/v1/icons/ico-social/linkedin.png! | | |!https: www.mailjet.com/images/theme/v1/icons/ico-social/twitter.png! | | |!https: www.mailjet.com/images/theme/v1/icons/ico-social/instagram.png! | | |",Request of Customer Relations,Orders - Pre delivery -> General Questions,Email Request,Email to Jira,Closed,Medium,2024-05-07 02:42:00,2024-05-07 03:12:00,02:55:00,15:29:00,"[05/07/2024 02:42] Hi system@sent-via.netsuite.com, We just received your request for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank [05/07/2024 02:56] Good afternoon, Thank you for contacting customer support. For recipe cards and other nutrition education resources, please contact [education@capitalareafoodbank.org.|mailto:education@capitalareafoodbank.org] Charity"
PART1-6472,Urgent order request,"REFERENCE NUMBERS:
Order Numbers: SO157930, SO157930, SO157930, SO157930

MAIN CONTENT:
REFERENCE NUMBERS: Order Numbers: SO157930, SO157930 MAIN CONTENT: REFERENCE NUMBERS: Order Numbers: SO157930 MAIN CONTENT: Is it to late to cancel the order for this Friday SO157930? I attempted to cancel it and it still is posted. The delivery is set for Friday 3rd. Please let me know as soon as possible. Thanks in advance Kim CP Community Food Bank",Partner Error,Orders - Pre delivery -> Cancelation,Email Request,Email to Jira,Closed,Medium,2024-05-01 02:05:00,2024-05-01 12:07:00,03:00:00,12:52:00,"[05/01/2024 02:05] Hi mrskimberleymrollins@yahoo.com, Thank you for contacting the Capital Area Food Bankâ€™s Customer Relations Department! Our hours of operation are Monday through Friday, 8 a.m. to 5 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank [05/01/2024 12:07] Good afternoon, Thank you for contacting customer support. SO157930 has been cancelled. Charity"
PART1-6527,LARS - Sign up for CAFB training,"REFERENCE NUMBERS:
Order Numbers: S0, S0

MAIN CONTENT:
REFERENCE NUMBERS: Order Numbers: S0 MAIN CONTENT: REFERENCE NUMBERS: Order Numbers: S0 MAIN CONTENT: Karina Valenzuela Emergency Services Coordinator Coordinadora de Servicios de Emergencia Laurel Advocacy & Referral Services, Inc. (301) 776-0442 x 1030 Support LARS' Do More 24 Campaign. Please click here to donate today! CFC: 92544 | United Way: 8843 Follow us on Facebook & Instagram",Partner Knowledge/Training,PartnerLink -> New Shopper,Email Request,Email to Jira,Closed,Medium,2024-05-08 07:14:00,2024-05-09 09:26:00,03:00:00,15:33:00,"[05/08/2024 07:14] !Outlook-13xzp522.png|thumbnail! !Outlook-ocewdf33.png|thumbnail! [05/08/2024 07:14] Hi KValenzuela@laureladvocacy.org, Thank you for contacting the Capital Area Food Bankâ€™s Customer Relations Department! Our hours of operation are Monday through Friday, 8 a.m. to 5 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank [05/09/2024 09:24] Good morning, Thank you for contacting customer support. Jazmin Haley is more than welcome to attend our next SMART Shopper Training on May 16th. Please note that a letter of authorization is required for all new shoppers and should be sent over via email on your agencyâ€™s letterhead, signed by the Executive Director or Pastor of your organization. The SMART Shopping Training on 5/16 will be held on Zoom from 10-11am. Please join using the following link: ^*May 16th*^Â |One tap mobile:|US: [++16465189805,,84455578157#,,,,*088900#+|tel:+16465189805,,84455578157#,,,,*088900#] or [++17866351003,,84455578157#,,,,*088900#+|tel:+17866351003,,84455578157#,,,,*088900#]| |Meeting URL:|[https://capitalareafoodbank.zoom.us/j/84455578157?pwd=KadIGEgJmqa34RqtPaUozOr8baaYKa.1&from=addon|https://capitalareafoodbank.zoom.us/j/84455578157?pwd=KadIGEgJmqa34RqtPaUozOr8baaYKa.1&from=addon|smart-link]| |Meeting ID:|844 5557 8157| |Passcode:|088900| Charity"
PART1-6482,"JUNE 7TH, CAFB IS CLOSING EARLY","MAIN CONTENT:
MAIN CONTENT: MAIN CONTENT: h3. h3. h3. Hi, h3. I saw the post in the newletter and on the site. When can we place an order for 6/7 deliveries? The next day is a scheduled distribution day for us. Seeking to reserve a delivery slot for 6/7. RE: h3. h3. VA PARTNERLINK AGENCY NEWS h3. JUNE 7TH, CAFB IS CLOSING EARLY On June 7th, the Capital Area Food Bank will be closing early. Only the 8am-10am delivery and 8am, 9am, and 10am pickup slots will be available. This will also affect the puller's schedule on Monday, June 10th, resulting in limited delivery and pickup windows. Plan your orders accordingly and feel free to contact us at partnersupport@capitalareafoodbank.org |mailto:partnersupport@capitalareafoodbank.org if you have any questions. Thank you! Jeff/Sterling UMC",Other,Delivery / Pickup -> General Questions,Email Request,Email to Jira,Closed,Medium,2024-05-01 07:22:00,2024-05-02 12:06:00,03:00:00,12:53:00,"[05/01/2024 07:22] Hi grace.sumc@gmail.com, Thank you for contacting the Capital Area Food Bankâ€™s Customer Relations Department! Our hours of operation are Monday through Friday, 8 a.m. to 5 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank [05/02/2024 12:03] Good afternoon, Thank you for contacting customer support. You are able to schedule orders up to 10 business days in advance. If you would like to schedule an order for June 7th, the earliest you would be able to see that date available would be *May 24th*. To be certain, I would check on the 23rd as well. Charity"
PART1-7815,Pickup / Delivery Support SO182780,"REFERENCE NUMBERS:
Order Numbers: SO182780, SO182780, SO182780, SO182780

MAIN CONTENT:
REFERENCE NUMBERS: Order Numbers: SO182780, SO182780 MAIN CONTENT: REFERENCE NUMBERS: Order Numbers: SO182780 MAIN CONTENT: Hi, Order #SO182780 went out for delivery yesterday 11/11 but we've confirmed that because of the holiday it should be delivered today 11/12. The partner did not receive the order today, but he received an email yesterday saying the delivery was attempted yesterday. If this order not yet placed back in inventory, can we please set a new closer delivery date for it? Thank you Zaynab",Request of Customer Relations,Orders - Pre delivery -> Report Issue,Pickup & Delivery Support,Portal,Closed,Medium,2024-11-12 11:37:00,2024-11-12 11:40:00,02:59:00,15:57:00,"[11/12/2024 11:39] Good morning, Zaynab. I just got off the phone with the partner and Joe. Joe sent over a driver with their order, which will arrive at their site around 12:45 PM."
PART1-6791,add to order numberSO164481,"REFERENCE NUMBERS:
Order Numbers: SO164481, SO164481, SO164481, SO164481

MAIN CONTENT:
REFERENCE NUMBERS: Order Numbers: SO164481, SO164481 MAIN CONTENT: REFERENCE NUMBERS: Order Numbers: SO164481 MAIN CONTENT: Please add the following to order SO164481 20 ea. 300577 Tomato Paste 20ea. 300010 Peanut Butter 10ea. 300342 Chicken Pouch 20ea. 930492 Grab and Go Box Any Questions call Jim Reed at 301-466-8263 Thanks",Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,Email Request,Email to Jira,Closed,Medium,2024-06-17 09:40:00,2024-06-18 10:52:00,03:00:00,14:07:00,"[06/17/2024 09:40] Hi saraa11@verizon.net, Thank you for contacting the Capital Area Food Bankâ€™s Customer Relations Department! Our hours of operation between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank [06/18/2024 10:51] Good morning, Thank you for contacting customer support. I have made your requested changes to your order. Charity"
